Semiconductors,gap
Ag1Al0.5Ga0.5Te2_kesterite,1.26
Ag1Al0.5Ga0.5Te2_stannite,0.63
Ag1Al0.5In0.5S1Se1_kesterite,1.64
Ag1Al0.5In0.5S1Se1_stannite,1.36
Ag1Al0.5In0.5S2_kesterite,2.02
Ag1Al0.5In0.5Te2_kesterite,1.14
Ag1Al0.5In0.5Te2_stannite,0.66
Ag1Al1S2_kesterite,3.09
Ag1Al1S2_stannite,2.62
Ag1Al1Se2_kesterite,2.2
Ag1Al1Se2_stannite,1.68
Ag1Al1Te2_kesterite,1.82
Ag1Al1Te2_stannite,1.15
Ag1Ga0.5In0.5S1Se1_kesterite,1.25
Ag1Ga0.5In0.5S1Se1_stannite,1.01
Ag1Ga0.5In0.5Te2_kesterite,0.78
Ag1Ga0.5In0.5Te2_stannite,0.29
Ag1Ga1S1Te1_kesterite,1.33
Ag1Ga1S1Te1_stannite,0.15
Ag1Ga1S2_kesterite,2.19
Ag1Ga1S2_stannite,1.75
Ag1Ga1Se2_kesterite,1.29
Ag1Ga1Se2_stannite,0.76
Ag1Ga1Te2_kesterite,0.93
Ag1Ga1Te2_stannite,0.2
Ag1In1S2_kesterite,1.39
Ag1In1S2_stannite,1.22
Ag1In1Se2_kesterite,0.8
Ag1In1Se2_stannite,0.56
Ag1In1Te2_kesterite,0.67
Ag1In1Te2_stannite,0.36
Ag2Ba1Ge1S4_kesterite,2.05
Ag2Ba1Ge1S4_stannite,1.68
Ag2Ba1Ge1Se4_kesterite,1.35
Ag2Ba1Ge1Se4_stannite,0.86
Ag2Ba1Ge1Te4_kesterite,0.72
Ag2Ba1Ge1Te4_stannite,0.21
Ag2Ba1Sn1S4_kesterite,1.89
Ag2Ba1Sn1S4_stannite,1.17
Ag2Ba1Sn1Se4_kesterite,1.29
Ag2Ba1Sn1Se4_stannite,0.54
Ag2Ba1Sn1Te4_kesterite,0.73
Ag2Ba1Sn1Te4_stannite,0.28
Ag2Ca0.5Sr0.5Sn0.5Ge0.5S2Te2_kesterite,1.02
Ag2Ca1Ge1S4_kesterite,2.45
Ag2Ca1Ge1S4_stannite,2.46
Ag2Ca1Ge1Se4_kesterite,1.71
Ag2Ca1Ge1Se4_stannite,1.69
Ag2Ca1Ge1Te4_kesterite,0.97
Ag2Ca1Ge1Te4_stannite,1.22
Ag2Ca1Sn1S4_kesterite,2.1
Ag2Ca1Sn1S4_stannite,2.06
Ag2Ca1Sn1Se4_kesterite,1.43
Ag2Ca1Sn1Se4_stannite,1.41
Ag2Ca1Sn1Te4_kesterite,0.97
Ag2Ca1Sn1Te4_stannite,1.14
Ag2Cd1Ge1S4_kesterite,1.02
Ag2Cd1Ge1S4_stannite,0.73
Ag2Cd1Ge1Se4_kesterite,1.02
Ag2Cd1Ge1Se4_stannite,0.73
Ag2Cd1Ge1Te4_kesterite,0.52
Ag2Cd1Ge1Te4_stannite,0.25
Ag2Cd1Sn1S4_kesterite,1.41
Ag2Cd1Sn1S4_stannite,1.24
Ag2Cd1Sn1Se4_kesterite,0.74
Ag2Cd1Sn1Se4_stannite,0.55
Ag2Cd1Sn1Te4_kesterite,0.48
Ag2Cd1Sn1Te4_stannite,0.26
Ag2Mg0.5Ba0.5Sn0.5Ge0.5S2Se2_kesterite,1.23
Ag2Mg0.5Ba0.5Sn0.5Ge0.5S2Se2_stannite,1.54
Ag2Mg0.5Zn0.5Sn1S1Se1Te2_kesterite,0.81
